pe_ratio,crest_factor,spectral_slope,gd_variance,class
0.0,12.419532183879317,-5.0711749232734525e-05,15.073483888291086,Click_M3
0.0,12.41953218387933,-5.071174923273985e-05,15.073483888291044,Click_M3
0.0,12.419532183879344,-5.071174923274651e-05,15.07348388829103,Click_M3
0.0,12.41953218387935,-5.071174923274892e-05,15.073483888291056,Click_M3
0.0,12.419532183879335,-5.0711749232742535e-05,15.073483888291024,Click_M3
0.0,12.419532183879273,-5.071174923271492e-05,15.073483888291491,Click_M3
0.0,12.419532183879351,-5.0711749232749385e-05,15.073483888290994,Click_M3
0.0,12.419532183879227,-5.071174923269373e-05,15.073483888291648,Click_M3
0.0,12.419532183879284,-5.071174923271948e-05,15.07348388829131,Click_M3
0.0,12.419532183879346,-5.071174923274816e-05,15.073483888290886,Click_M3
0.0,12.419532183879316,-5.071174923273399e-05,15.07348388829116,Click_M3
0.0,12.419532183879351,-5.0711749232749385e-05,15.073483888291008,Click_M3
0.29948963084263164,11.854188453021614,-0.0002706101876633505,26.172629587183618,Click_M4
0.29948963063757217,11.854188446931161,-0.0002706101887862921,26.172629698746015,Click_M4
0.29948963345197327,11.854188530521496,-0.0002706101733736872,26.172628168856903,Click_M4
0.29948963237169657,11.854188498436429,-0.0002706101792902475,26.172628754278477,Click_M4
0.29948963009638324,11.854188430857969,-0.0002706101917523128,26.172629986051195,Click_M4
0.29948962989678535,11.854188424929752,-0.0002706101928454888,26.172630094218185,Click_M4
0.2994896323903654,11.854188498990048,-0.00027061017918408284,26.172628755827773,Click_M4
0.2994896334519667,11.854188530520654,-0.0002706101733712316,26.172628176331294,Click_M4
0.2994896310666955,11.85418845967697,-0.0002706101864379145,26.172629460528164,Click_M4
0.2994896310740683,11.854188459895951,-0.00027061018639753463,26.17262945653181,Click_M4
0.2994896310717238,11.854188459826318,-0.0002706101864103749,26.172629457802618,Click_M4
0.29948963027735576,11.854188436232995,-0.00027061019076114577,26.17262988797781,Click_M4
0.29948963345197327,11.854188530521496,-0.00027061017337369156,26.17262816884135,Click_M4
0.2994896326356184,11.854188506275145,-0.00027061017784487995,26.172628610941214,Click_M4
0.29948963095257164,11.854188456287405,-0.0002706101870629539,26.172629522389503,Click_M4
0.2994896334519732,11.854188530521487,-0.00027061017337365957,26.17262816894043,Click_M4
0.29948963345197277,11.854188530521315,-0.00027061017337315997,26.172628170460708,Click_M4
0.2994896329754457,11.854188516368096,-0.0002706101759830708,26.1726284286293,Click_M4
0.2994896302342081,11.854188434951471,-0.0002706101909974618,26.17262991136076,Click_M4
0.29948963345197327,11.8541885305215,-0.0002706101733736983,26.172628168821703,Click_M4
0.29948963028961223,11.854188436597017,-0.00027061019069401897,26.17262988133572,Click_M4
0.29948963046588534,11.854188441832129,-0.0002706101897274223,26.172629789333104,Click_M4
0.29948963265048606,11.85418850671673,-0.00027061017776345675,26.1726286028665,Click_M4
0.2994896320408415,11.854188488609177,-0.0002706101810999528,26.172628940627117,Click_M4
0.2994896304519802,11.85418844141922,-0.0002706101898038879,26.172629795941248,Click_M4
0.29948963274545454,11.854188509536312,-0.00027061017723773313,26.172628567954167,Click_M4
0.29948963182244864,11.8541884821234,-0.0002706101822986285,26.172629051295328,Click_M4
0.2994896326488696,11.85418850666872,-0.0002706101777723088,26.17262860374459,Click_M4
0.29948963345197327,11.854188530521501,-0.0002706101733736981,26.172628168822122,Click_M4
0.29948963183004845,11.85418848234912,-0.00027061018225700594,26.172629047173967,Click_M4
0.2994896334519733,11.854188530521492,-0.00027061017337367757,26.172628168885055,Click_M4
0.29948963156166686,11.854188474377967,-0.00027061018372686766,26.172629192721928,Click_M4
0.29948963272811957,11.854188509022402,-0.0002706101773379195,26.172628561842743,Click_M4
0.29948963161583686,11.854188475986303,-0.0002706101834281075,26.17262916960365,Click_M4
0.2994896303338808,11.854188437911107,-0.0002706101904486989,26.172629865929895,Click_M4
0.2994896334519733,11.854188530521494,-0.0002706101733736808,26.172628168875224,Click_M4
0.29948963212916635,11.85418849123306,-0.0002706101806184649,26.17262888599758,Click_M4
0.2994896334519732,11.854188530521478,-0.0002706101733736332,26.17262816901947,Click_M4
0.29948963249270943,11.854188502030624,-0.00027061017862751996,26.17262868855595,Click_M4
0.2994896334519733,11.854188530521482,-0.00027061017337364336,26.1726281689894,Click_M4
0.2994896334519734,11.854188530521494,-0.00027061017337368126,26.172628168873494,Click_M4
0.29948963265264467,11.854188506780844,-0.0002706101777516347,26.172628601694274,Click_M4
0.2994896299688214,11.854188427069278,-0.00027061019245095574,26.172630055180125,Click_M4
0.2994896304932123,11.854188442644034,-0.00027061018957869206,26.172629771698187,Click_M4
0.2994896302849344,11.854188436458083,-0.00027061019071963937,26.17262988387075,Click_M4
0.2994896320247199,11.854188488130905,-0.00027061018119046553,26.172628942723126,Click_M4
0.29948963231858444,11.854188496858951,-0.00027061017958111616,26.172628783123777,Click_M4
0.29948963103036713,11.85418845859799,-0.0002706101866368799,26.172629480220156,Click_M4
0.2994896320021122,11.854188487459519,-0.00027061018131452775,26.172628954240974,Click_M4
0.29948963266022705,11.854188507006047,-0.0002706101777101097,26.172628597576253,Click_M4
